"e.g. domain.com/blog/identifier","例如：sunpop.cn/blog/identifier"
"Logged in Auto Approve Comments","已登录用户评论自动过审"
"Login Required to Comment","只允许登录用户评论"
"Long","长日期格式"
"Magento Blog extension by","Magento Blog extension by"
"Medium","标准日期格式"
"Menus and Links","菜单与链接显示设置"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Name","Name"
"Newer Posts","Newer Posts"
"Newest first","Newest first"
"No Posts in this Category.","No Posts in this Category."
"No","No"
"Number of characters in a post to be displayed before it is truncated and the Read More link is added. 0 for unlimited.","Number of characters in a post to be displayed before it is truncated and the Read More link is added. 0 for unlimited."
"Number of post to display in the RSS feed.","Number of post to display in the RSS feed."
"Older first","Older first"
"Older Posts","Older Posts"
"Only comments added by logged in users will be approved automatically","Only comments added by logged in users will be approved automatically"
"Page Layout","Page Layout"
"Parse CMS Tags in Post Contents","文章中高亮标签关键字"
"Please select categories","Please select categories"
"Please select comment(s)","Please select comment(s)"
"Please select post(s)","Please select post(s)"
"Please use only letters (a-z or A-Z), numbers (0-9) or symbols '-' and '_' in this field","Please use only letters (a-z or A-Z), numbers (0-9) or symbols '-' and '_' in this field"
"Position","Position"
"Post does not exist","Post does not exist"
"Post Identifier already exist.","Post Identifier already exist."
"Post Identifier cannot consist only of numbers.","Post Identifier cannot consist only of numbers."
"Post information","文章信息"
"Post Information","文章信息"
"post was successfully deleted","post was successfully deleted"
"Post was successfully deleted","Post was successfully deleted"
"Post was successfully saved","Post was successfully saved"
"Post","Post"
"Post Comments","发表评论"
"Posted in","Posted in"
"posted on","posted on"
"Posted","Posted"
"Poster","发布人"
"Posts per Page","列表页文章数量"
"Posts","文章列表"
"Post Title","标题"
"Price","Price"
"Priority","Priority"
"Read More","Read More"
"ReCAPTCHA Secret Key","ReCAPTCHA Secret Key"
"ReCAPTCHA Site Key","ReCAPTCHA Site Key"
"ReCAPTCHA","Google验证码"
"Recent Posts","最近更新"
"Related post","相关内容"
"Relative to current skin directory, e.g. images/rsslogo.jpg","Relative to current skin directory, e.g. images/rsslogo.jpg"
"Return to","Return to"
"Route to Blog","资讯路由URL"
"RSS Feed Image","RSS 图标"
"RSS Feed","RSS Feed"
"RSS Posts to Show","RSS 显示的文章数量"
"Save And Continue Edit","保存并继续编辑"
"Save Category","Save Category"
"Save Comment","保存评论"
"Save Post","Save Post"
"Send Emails to","评论信息自动发到指定邮箱"
"Short Content","Short Content"
"Short","短日期格式"
"Show Bookmarks in Lists","在列表页显示书签"
"Show Bookmarks in Posts","在文章页面显示书签"
"Show Breadcrumbs","显示资讯导航栏"
"SKU","SKU"
"Sort Order","Sort Order"
"Status","Status"
"Store View","Store View"
"Submit Comment","Submit Comment"
"Summary Character Count","摘要所占篇幅字数"
"Tagged with "%s"","Tagged with "%s""
"Tag Cloud","标签"
"Tags to Display","Tags标签显示数量"
"tags","tags标签"
"Tags","Tags标签"
"The number of recent post to be displayed in the menu. 0 to disable.","The number of recent post to be displayed in the menu. 0 to disable."
"The number of tags to display in tag cloud. 0 disables tag cloud","The number of tags to display in tag cloud. 0 disables tag cloud"
"The number of posts displayed per page. Set 0 to disable pagination.","The number of posts displayed per page. Set 0 to disable pagination."
"The requested page could not be found","The requested page could not be found"
"Thumbnail Image","缩略图"
"Title","Title"
"Total of %d comment(s) were successfully approved","Total of %d comment(s) were successfully approved"
"Total of %d comment(s) were successfully unapproved","Total of %d comment(s) were successfully unapproved"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find category to save","Unable to find category to save"
"Unable to find comment to save","Unable to find comment to save"
"Unable to find post to save","Unable to find post to save"
"Unapprove","Unapprove"
"Unapproved","未通过"
"Updated at","更新于"
"Use Categories ID in Posts URLs","文章链接中使用目录ID"
"Use Short Content Field","使用简述字段"
"Use comma as separator","使用' , '逗号分隔"
"User","User"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"View","View"
"XML","XML"
"Yes, all pages","Yes, all pages"
"Yes, only blog page","Yes, only blog page"
"You must be logged in to comment.","You must be logged in to comment."
"You must be logged in to post a comment.","You must be logged in to post a comment."
"Your comment has been submitted and is awaiting approval.","Your comment has been submitted and is awaiting approval."
"Your comment has been submitted.","Your comment has been submitted."
"Your Recaptcha solution was incorrect, please try again","Your Recaptcha solution was incorrect, please try again"
